reviewer	format	file	source_google_doc_id	source_revision_id	source_modified_at_utc	exported_at_utc	bytes	sha256
reviewer_1	docx	reviewer_1_completed.docx	1EfS--q1hTa_WKr99F6d3J6zUlYZpQwusnmSjFNXhEmw	AIroW37mjRPQWLxfunIQQJADoArGDF-cjH7ZXepvJeCdJMHn4qSmk89m0XFGfvF6P6w4jbh9RfMg0N00oqR_947b3N_jdInlLq3QdFeJ6bI	2026-08-26T14:22:12.150Z	2026-08-27	31415	7ba62f50a0f255fcbfe4dc044fc2d2919f72345f6159cd42b714b1f52d1967f3
reviewer_1	pdf	reviewer_1_completed.pdf	1EfS--q1hTa_WKr99F6d3J6zUlYZpQwusnmSjFNXhEmw	AIroW37mjRPQWLxfunIQQJADoArGDF-cjH7ZXepvJeCdJMHn4qSmk89m0XFGfvF6P6w4jbh9RfMg0N00oqR_947b3N_jdInlLq3QdFeJ6bI	2026-08-26T14:22:12.150Z	2026-08-27	405224	ecf6c12e36e395c38d6468fcbf47e69d49b24c9b6f63f515f0500b9905434c2a
reviewer_2	docx	reviewer_2_completed.docx	1AG19Pr3yw9EWDgwsLvsC-FR0ntugwOGaZ-aoc3hr44A	ANLCKQkT8_Mb1IHuG8BSmXZw6VXsYlSoZJ_EGE2mLdHbUtFR4-vnlbttnXhcHetujhwVjIKYPtXME49gzWH8sbL9_0vGvE1hYjQiOzRX4Dw	2026-08-26T14:23:17.086Z	2026-08-27	1327566	45971f01dc83e57972d108fe309a1866ac06abfd845680238bc95d42c690fcaa
reviewer_2	pdf	reviewer_2_completed.pdf	1AG19Pr3yw9EWDgwsLvsC-FR0ntugwOGaZ-aoc3hr44A	ANLCKQkT8_Mb1IHuG8BSmXZw6VXsYlSoZJ_EGE2mLdHbUtFR4-vnlbttnXhcHetujhwVjIKYPtXME49gzWH8sbL9_0vGvE1hYjQiOzRX4Dw	2026-08-26T14:23:17.086Z	2026-08-27	527682	a8292ccbe28992d22755e089825b37f4daa323b9bdacbea835def7aa6b9ac714
